name,city,state,venue,sport_type,league, division
Celtics,Boston,Massachusetts,TD Garden,NBA,Eastern,Atlantic
Nets,Brooklyn,New York,Barclays Center,NBA,Eastern,Atlantic
Knicks,New York,New York,Madison Square Garden,NBA,Eastern,Atlantic
76ers,Philadelphia,Pennsylvania,Wells Fargo Center,NBA,Eastern,Atlantic
Raptors,Toronto,Ontario,Scotiabank Arena,NBA,Eastern,Atlantic
Bulls,Chicago,Illinois,United Center,NBA,Eastern,Central
Cavaliers,Cleveland,Ohio,Quicken Loans Arena,NBA,Eastern,Central
Pistons,Detriot,Michigan,Little Caesars Arena,NBA,Eastern,Central
Pacers,Indianapolis,Indiana,Bankers Life Fieldhouse,NBA,Eastern,Central
Bucks,Milwaukee,Wisconsin,Fiserv Forum,NBA,Eastern,Central
Hawks,Atlanta,Georgia,State Farm Arena,NBA,Eastern,Southeast
Hornets,Charlotte,North Carolina,Spectrum Center,NBA,Eastern,Southeast
Heat,Miami,Florida,American Airlines Arena,NBA,Eastern,Southeast
Magic,Orlando,Florida,Amway Center,NBA,Eastern,Southeast
Wizards,Washington,D.C.,Capital One Arena,NBA,Eastern,Southeast
Nuggets,Denver,Colorado,Pepsi Center,NBA,Western,Northwest
Timberwolves,Minneapolis,Minnesota,Target Center,NBA,Western,Northwest
Thunder,Oklahoma City,Oklahoma,Chesapeake Energy Arena,NBA,Western,Northwest
Trail Blazers,Portland,Oregon,Moda Center,NBA,Western,Northwest
Jazz,Salt Lake City,Utah,Vivint Smart Home Arena,NBA,Western,Northwest
Warriors,Oakland,California,Oracle Arena,NBA,Western,Pacific
Clippers,Los Angeles,California,Staples Center,NBA,Western,Pacific
Lakers,Los Angeles,California,Staples Center,NBA,Western,Pacific
Suns,Phoenix,Arizona,Talking Stick Resort Arena,NBA,Western,Pacific
Kings,Sacramento,California,Golden 1 Center,NBA,Western,Pacific
Mavericks,Dallas,Texas,American Airlines Center,NBA,Western,Southwest
Rockets,Houston,Texas,Toyota Center,NBA,Western,Southwest
Grizzlies,Memphis,Tennessee,FedExForum,NBA,Western,Southwest
Pelicans,New Orleans,Louisiana,Smoothie King Center,NBA,Western,Southwest
Spurs,San Antonio,Texas,AT&T Center,NBA,Western,Southwest
Braves,Atlanta,Georgia,SunTrust Park,MLB,NL,East
Marlins,Miami,Florida,Marlins Park,MLB,NL,East
Mets,New York,New York,Citi Field,MLB,NL,East
Phillies,Philadelphia,Pennsylvania,Citizens Bank Park,MLB,NL,East
Nationals,Washington,D.C.,Nationals Park,MLB,NL,East
Cubs,Chicago,Illinois,Wrigley Field,MLB,NL,Central
Reds,Cincinnati,Ohio,Great American Ball Park,MLB,NL,Central
Brewers,Milwaukee,Wisconsin,Miller Park,MLB,NL,Central
Pirates,Pittsburgh,Pennsylvania,PNC Park,MLB,NL,Central
Cardinals,St. Louis,Missouri,Busch Stadium,MLB,NL,Central
Diamondbacks,Phoenix,Arizona,Chase Field,MLB,NL,West
Rockies,Denver,Colorado,Coors Field,MLB,NL,West
Dodgers,Los Angeles,California,Dodger Stadium,MLB,NL,West
Padres,San Diego,California,PETCO Park,MLB,NL,West
Giants,San Francisco,California,Oracle Park,MLB,NL,West
Orioles,Baltimore,Maryland,Oriole Park at Camden Yards,MLB,AL,East
Red Sox,Boston,Massachusetts,Fenway Park,MLB,AL,East
Yankees,New York,New York,Yankee Stadium,MLB,AL,East
Rays,Tampa,Florida,Tropicana Field,MLB,AL,East
Blue Jays,Toronto,Ontario,Rogers Centre,MLB,AL,East
White Sox,Chicago,Illinois,Guaranteed Rate Field,MLB,AL,Central
Indians,Cleveland,Ohio,Progressive Field,MLB,AL,Central
Tigers,Detroit,Michigan,Comerica Park,MLB,AL,Central
Royals,Kansas City,Missouri,Kauffman Stadium,MLB,AL,Central
Twins,Minneapolis,Minnesota,Target Field,MLB,AL,Central
Astros,Houston,Texas,Minute Maid Park,MLB,AL,West
Angels,Anaheim,California,Angel Stadium of Anaheim,MLB,AL,West
